Time,PPG,ECG,resp,Class
0.0,0.405669599217986,0.39453125,-1.38888888888889,1
0.008,0.397849462365591,0.35546875,-1.38888888888889,1
0.016,0.389051808406647,0.384765625,-1.38888888888889,1
0.024,0.379276637341153,0.400390625,-1.38888888888889,1
0.032,0.370478983382209,0.419921875,-1.38888888888889,1
0.04,0.360703812316716,0.41015625,-1.38888888888889,1
0.048,0.350928641251222,0.44921875,-1.38888888888889,1
0.056,0.342130987292278,0.494140625,-1.38888888888889,1
0.064,0.332355816226784,0.51953125,-1.38888888888889,1
0.072,0.32355816226784,0.515625,-1.38888888888889,1
0.08,0.315738025415445,0.58984375,-1.38888888888889,1
0.088,0.30791788856305,0.595703125,-1.38888888888889,1
0.096,0.302052785923754,0.689453125,-1.38888888888889,1
0.104,0.300097751710655,0.640625,-1.38194444444444,1
0.112,0.300097751710655,0.580078125,-1.38194444444444,1
0.12,0.303030303030303,0.490234375,-1.375,1
0.128,0.310850439882698,0.41015625,-1.36805555555556,1
0.136,0.324535679374389,0.37109375,-1.36805555555556,1
0.144,0.344086021505376,0.365234375,-1.36111111111111,1
0.152,0.36950146627566,0.345703125,-1.34722222222222,1
0.16,0.398826979472141,0.349609375,-1.33333333333333,1
0.168,0.43108504398827,0.32421875,-1.31944444444444,1
0.176,0.464320625610948,0.291015625,-1.30555555555556,1
0.184,0.497556207233627,0.46484375,-1.28472222222222,1
0.192,0.525904203323558,1.115234375,-1.25,1
0.2,0.551319648093842,1.5,-1.21527777777778,1
0.208,0.576735092864125,1.5,-1.18055555555556,1
0.216,0.602150537634409,0.544921875,-1.13888888888889,1
0.224,0.625610948191593,0.0703125,-1.09722222222222,1
0.232,0.648093841642229,0.1796875,-1.05555555555556,1
0.24,0.667644183773216,0.205078125,-1.00694444444444,1
0.248,0.683284457478006,0.23046875,-0.965277777777778,1
0.256,0.696969696969697,0.2109375,-0.909722222222222,1
0.264,0.705767350928641,0.201171875,-0.854166666666667,1
0.272,0.711632453567937,0.220703125,-0.791666666666667,1
0.28,0.713587487781036,0.1953125,-0.729166666666667,1
0.288,0.711632453567937,0.21484375,-0.673611111111111,1
0.296,0.706744868035191,0.234375,-0.611111111111111,1
0.304,0.697947214076246,0.234375,-0.555555555555556,1
0.312,0.687194525904203,0.23046875,-0.493055555555556,1
0.32,0.673509286412512,0.275390625,-0.4375,1
0.328,0.659824046920821,0.310546875,-0.375,1
0.336,0.644183773216031,0.314453125,-0.319444444444444,1
0.344,0.629521016617791,0.310546875,-0.256944444444444,1
0.352,0.61485826001955,0.349609375,-0.201388888888889,1
0.36,0.601173020527859,0.375,-0.145833333333333,1
0.368,0.587487781036168,0.400390625,-0.0972222222222222,1
0.376,0.575757575757576,0.41015625,-0.0486111111111111,1
0.384,0.565982404692082,0.4296875,-0.0138888888888889,1
0.392,0.557184750733138,0.455078125,0.0208333333333333,1
0.4,0.549364613880743,0.494140625,0.0555555555555556,1
0.408,0.541544477028348,0.509765625,0.0833333333333333,1
0.416,0.531769305962854,0.525390625,0.104166666666667,1
0.424,0.52297165200391,0.509765625,0.125,1
0.432,0.513196480938416,0.494140625,0.138888888888889,1
0.44,0.503421309872923,0.470703125,0.152777777777778,1
0.448,0.494623655913978,0.435546875,0.166666666666667,1
0.456,0.484848484848485,0.384765625,0.173611111111111,1
0.464,0.476050830889541,0.380859375,0.180555555555556,1
0.472,0.467253176930596,0.380859375,0.1875,1
0.48,0.459433040078201,0.384765625,0.194444444444444,1
0.488,0.450635386119257,0.39453125,0.194444444444444,1
0.496,0.443792766373412,0.380859375,0.201388888888889,1
0.504,0.437927663734115,0.404296875,0.201388888888889,1
0.512,0.43108504398827,0.400390625,0.201388888888889,1
0.52,0.423264907135875,0.390625,0.208333333333333,1
0.528,0.41544477028348,0.365234375,0.208333333333333,1
0.536,0.407624633431085,0.37109375,0.215277777777778,1
0.544,0.39980449657869,0.35546875,0.215277777777778,1
0.552,0.391984359726295,0.33984375,0.222222222222222,1
0.56,0.3841642228739,0.3359375,0.222222222222222,1
0.568,0.375366568914956,0.33984375,0.229166666666667,1
0.576,0.36852394916911,0.310546875,0.229166666666667,1
0.584,0.360703812316716,0.3359375,0.236111111111111,1
0.592,0.354838709677419,0.35546875,0.243055555555556,1
0.6,0.348973607038123,0.37109375,0.25,1
0.608,0.342130987292278,0.400390625,0.263888888888889,1
0.616,0.332355816226784,0.44921875,0.270833333333333,1
0.624,0.321603128054741,0.46484375,0.277777777777778,1
0.632,0.309872922776149,0.505859375,0.284722222222222,1
0.64,0.297165200391007,0.51953125,0.298611111111111,1
0.648,0.285434995112414,0.470703125,0.305555555555556,1
0.656,0.275659824046921,0.404296875,0.319444444444444,1
0.664,0.269794721407625,0.32421875,0.333333333333333,1
0.672,0.269794721407625,0.28515625,0.347222222222222,1
0.68,0.27663734115347,0.265625,0.361111111111111,1
0.688,0.291300097751711,0.26953125,0.375,1
