Time,PPG,ECG,Class
0.0,0.380392156862745,0.8515625,1
0.008,0.376470588235294,0.84375,1
0.016,0.376470588235294,0.8203125,1
0.024,0.372549019607843,0.796875,1
0.032,0.368627450980392,0.75,1
0.04,0.368627450980392,0.7109375,1
0.048,0.36078431372549,0.6875,1
0.056,0.356862745098039,0.6640625,1
0.064,0.352941176470588,0.625,1
0.072,0.349019607843137,0.59375,1
0.08,0.345098039215686,0.5859375,1
0.088,0.337254901960784,0.5703125,1
0.096,0.333333333333333,0.5703125,1
0.104,0.325490196078431,0.578125,1
0.112,0.317647058823529,0.5625,1
0.12,0.313725490196078,0.5546875,1
0.128,0.305882352941176,0.5625,1
0.136,0.301960784313725,0.578125,1
0.144,0.294117647058824,0.5859375,1
0.152,0.290196078431373,0.6015625,1
0.16,0.286274509803922,0.5859375,1
0.168,0.282352941176471,0.5859375,1
0.176,0.27843137254902,0.5859375,1
0.184,0.274509803921569,0.6015625,1
0.192,0.270588235294118,0.6015625,1
0.2,0.266666666666667,0.6015625,1
0.208,0.262745098039216,0.609375,1
0.216,0.258823529411765,0.6015625,1
0.224,0.254901960784314,0.6015625,1
0.232,0.250980392156863,0.6015625,1
0.24,0.247058823529412,0.6015625,1
0.248,0.243137254901961,0.609375,1
0.256,0.243137254901961,0.6171875,1
0.264,0.247058823529412,0.6328125,1
0.272,0.254901960784314,0.65625,1
0.28,0.266666666666667,0.6796875,1
0.288,0.282352941176471,0.703125,1
0.296,0.309803921568627,0.7265625,1
0.304,0.345098039215686,0.7421875,1
0.312,0.384313725490196,0.75,1
0.32,0.427450980392157,0.75,1
0.328,0.474509803921569,0.7421875,1
0.336,0.517647058823529,0.71875,1
0.344,0.56078431372549,0.6953125,1
0.352,0.596078431372549,0.6875,1
0.36,0.627450980392157,0.6953125,1
0.368,0.647058823529412,0.7109375,1
0.376,0.662745098039216,0.671875,1
0.384,0.670588235294118,0.6171875,1
0.392,0.674509803921569,0.6015625,1
0.4,0.670588235294118,0.84375,1
0.408,0.666666666666667,1.40625,1
0.416,0.654901960784314,1.5,1
0.424,0.643137254901961,1.5,1
0.432,0.627450980392157,1.5,1
0.44,0.607843137254902,1.140625,1
0.448,0.588235294117647,0.7890625,1
0.456,0.568627450980392,0.6953125,1
0.464,0.549019607843137,0.671875,1
0.472,0.529411764705882,0.65625,1
0.48,0.509803921568627,0.640625,1
0.488,0.494117647058824,0.640625,1
0.496,0.474509803921569,0.65625,1
0.504,0.454901960784314,0.6640625,1
0.512,0.435294117647059,0.671875,1
0.52,0.419607843137255,0.6953125,1
0.528,0.403921568627451,0.7109375,1
0.536,0.392156862745098,0.734375,1
0.544,0.380392156862745,0.75,1
0.552,0.376470588235294,0.7734375,1
0.56,0.368627450980392,0.8046875,1
0.568,0.364705882352941,0.8359375,1
0.576,0.364705882352941,0.875,1
0.584,0.364705882352941,0.90625,1
0.592,0.364705882352941,0.9296875,1
0.6,0.368627450980392,0.9609375,1
0.608,0.368627450980392,0.9921875,1
0.616,0.372549019607843,1.015625,1
0.624,0.372549019607843,1.0390625,1
0.632,0.376470588235294,1.046875,1
0.64,0.376470588235294,1.0390625,1
0.648,0.376470588235294,1.0078125,1
